Valuation Date,Curve Name,Date,Value,Label
2014-07-08,AED-3ME,2018-07-08,0.019235428680582936,4Y
2014-07-08,AED-3ME,2017-07-08,0.015206922463346616,3Y
2014-07-08,AED-3ME,2015-01-08,0.006713698632788478,6M
2014-07-08,AED-3ME,2016-07-08,0.01081865344655567,2Y
2014-07-08,AED-3ME,2015-07-08,0.008582247218429467,1Y
2014-07-08,AED-3ME,2014-10-08,0.007061077924406842,3M
2014-07-08,AED-3ME,2024-07-08,0.03566003221365681,10Y
2014-07-08,AED-3ME,2014-08-08,0.004156210800952888,1M
2014-07-09,AED-3ME,2021-07-09,0.028900275476210806,7Y
2014-07-09,AED-3ME,2015-04-09,0.006661656992957759,9M
2014-07-09,AED-3ME,2019-07-09,0.022790871332856715,5Y
2014-07-09,AED-3ME,2018-07-09,0.019037570891434423,4Y
2014-07-09,AED-3ME,2017-07-09,0.014779726345769469,3Y
2014-07-09,AED-3ME,2015-01-09,0.0067618644196842295,6M
2014-07-09,AED-3ME,2016-07-09,0.010479759946466561,2Y
2014-07-09,AED-3ME,2015-07-09,0.008274672029073504,1Y
2014-07-09,AED-3ME,2014-10-09,0.007061077924406364,3M
2014-07-09,AED-3ME,2024-07-09,0.03568298421875264,10Y
2014-07-09,AED-3ME,2014-08-09,0.004156210800953067,1M
2014-07-10,AED-3ME,2021-07-10,0.028550794194835624,7Y
2014-07-10,AED-3ME,2015-04-10,0.00651103126945469,9M
2014-07-10,AED-3ME,2019-07-10,0.02255866860041589,5Y
2014-07-10,AED-3ME,2018-07-10,0.018804895268912346,4Y
2014-07-10,AED-3ME,2017-07-10,0.014597919999225398,3Y
2014-07-10,AED-3ME,2015-01-10,0.00668340581101465,6M
2014-07-10,AED-3ME,2016-07-10,0.01039588325029109,2Y
2014-07-10,AED-3ME,2015-07-10,0.008156706186508612,1Y
2014-07-10,AED-3ME,2014-10-10,0.007003284782284677,3M
2014-07-10,AED-3ME,2024-07-10,0.035576697567503555,10Y
2014-07-10,AED-3ME,2014-08-10,0.004098338035418665,1M
2014-07-12,AED-3ME,2021-07-12,0.028470233656814916,7Y
2014-07-12,AED-3ME,2015-04-12,0.006528250501653217,9M
2014-07-12,AED-3ME,2019-07-12,0.022491497137178136,5Y
2014-07-12,AED-3ME,2018-07-12,0.01875037324514278,4Y
2014-07-12,AED-3ME,2017-07-12,0.014519291325782679,3Y
2014-07-12,AED-3ME,2015-01-12,0.006660646119323312,6M
2014-07-12,AED-3ME,2016-07-12,0.01031630509364476,2Y
2014-07-12,AED-3ME,2015-07-12,0.008163533166320316,1Y
2014-07-12,AED-3ME,2014-10-12,0.006959863485474969,3M
2014-07-12,AED-3ME,2024-07-12,0.03526816041489035,10Y
2014-07-12,AED-3ME,2014-08-12,0.0040548572591112535,1M
2014-07-14,AED-3ME,2021-07-14,0.02837238506382995,7Y
2014-07-14,AED-3ME,2015-04-14,0.006499993408403963,9M
2014-07-14,AED-3ME,2019-07-14,0.02227432454031808,5Y
2014-07-14,AED-3ME,2018-07-14,0.01852343700583222,4Y
2014-07-14,AED-3ME,2017-07-14,0.014593191494155777,3Y
2014-07-14,AED-3ME,2015-01-14,0.006756976464174603,6M
2014-07-14,AED-3ME,2016-07-14,0.010240402636236967,2Y
2014-07-14,AED-3ME,2015-07-14,0.007966841423039887,1Y
2014-07-14,AED-3ME,2014-10-14,0.006959863485475076,3M
2014-07-14,AED-3ME,2024-07-14,0.0351610882647851,10Y
2014-07-14,AED-3ME,2014-08-14,0.004054857259111571,1M
2014-07-15,AED-3ME,2021-07-15,0.028481950163060488,7Y
2014-07-15,AED-3ME,2015-04-15,0.00656633028940993,9M
2014-07-15,AED-3ME,2019-07-15,0.022472788419264488,5Y
2014-07-15,AED-3ME,2018-07-15,0.0189283590884726,4Y
2014-07-15,AED-3ME,2017-07-15,0.014796713829425125,3Y
2014-07-15,AED-3ME,2015-01-15,0.006805139793252289,6M
2014-07-15,AED-3ME,2016-07-15,0.010529008298144911,2Y
2014-07-15,AED-3ME,2015-07-15,0.008164306896050235,1Y
2014-07-15,AED-3ME,2014-10-15,0.0069598634854752105,3M
2014-07-15,AED-3ME,2024-07-15,0.03501833549042799,10Y
2014-07-15,AED-3ME,2014-08-15,0.004054857259111512,1M
2014-07-16,AED-3ME,2021-07-16,0.0286691504411879,7Y
2014-07-16,AED-3ME,2015-04-16,0.006566330289409819,9M
2014-07-16,AED-3ME,2019-07-16,0.022723171821734157,5Y
2014-07-16,AED-3ME,2018-07-16,0.019283660341750993,4Y
2014-07-16,AED-3ME,2017-07-16,0.01527650235131501,3Y
2014-07-16,AED-3ME,2015-01-16,0.006805139793252404,6M
2014-07-16,AED-3ME,2016-07-16,0.010616107856309918,2Y
2014-07-16,AED-3ME,2015-07-16,0.008099383687997152,1Y
2014-07-16,AED-3ME,2014-10-16,0.006959863485475384,3M
2014-07-16,AED-3ME,2024-07-16,0.03521886824608227,10Y
2014-07-16,AED-3ME,2014-08-16,0.004054857259110235,1M
2014-07-17,AED-3ME,2021-07-17,0.028012637943370833,7Y
2014-07-17,AED-3ME,2015-04-17,0.006534143113484688,9M
2014-07-17,AED-3ME,2019-07-17,0.02218589499513435,5Y
2014-07-17,AED-3ME,2018-07-17,0.018746940088901896,4Y
2014-07-17,AED-3ME,2017-07-17,0.01484599818660761,3Y
2014-07-17,AED-3ME,2015-01-17,0.00680513979325253,6M
2014-07-17,AED-3ME,2016-07-17,0.010689139158779604,2Y
2014-07-17,AED-3ME,2015-07-17,0.008090584485531887,1Y
2014-07-17,AED-3ME,2014-10-17,0.006959863485475625,3M
2014-07-17,AED-3ME,2024-07-17,0.034452627862420274,10Y
2014-07-17,AED-3ME,2014-08-17,0.004054857259111319,1M
2014-07-19,AED-3ME,2021-07-19,0.02822599023154481,7Y
2014-07-19,AED-3ME,2015-04-19,0.006566330289409591,9M
2014-07-19,AED-3ME,2019-07-19,0.022627304961797993,5Y
